N;CCAA;ÁREA TEMÁTICA;ICTS;TIPO;INSTALACIÓN;ENTIDAD TITULAR/GESTORA;CODE;COMMAPOSITION;LONGITUD;LATITUD;GEOPOSICIÓN;DIRECCIÓN;TELÉFONO;CORREO ELECTRÓNICO;WEB ICTS;WEB INSTALACIÓN;WEB MCIN;IMAGEN;ACCESO_ICTS
1;CASTILLA Y LEÓN;Ciencias socioeconómicas y humanidades;Centro Nacional de Investigación sobre la Evolución Humana (CENIEH);LOCALIZACIÓN ÚNICA;Centro Nacional de Investigación sobre la Evolución Humana (CENIEH);Consorcio Centro Nacional de Investigación sobre la Evolución Humana (CENIEH);ES.CL;18; -3.69659102024295;42.33958080362874;42.33958080362874, -3.6965910202429506;Paseo Sierra de Atapuerca, 3. 09002 Burgos.;947040800;contacto@cenieh.es;https://www.cenieh.es/;https://www.cenieh.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSocioeconomicas/CENIEH.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-Socioecon-micas-y-Humanidades/CENIEH/CENIEH_Fachada.jpg/jcr:content.jpg;https://www.cenieh.es/infraestructura/acceso-y-oficina-de-usuario
2;PAÍS VASCO;Ciencias de la salud y biotecnología;Red Distribuida de Imagen Biomédica (ReDIB);DISTRIBUIDAS;Plataforma de Imagen Molecular y Funcional (CIC-biomaGUNE) ;Asociación Centro de Investigación Cooperativa en Biomateriales (CIC-biomaGUNE);ES.PV;18; -1.98062361542347;43.28907306621465;43.28907306621465, -1.9806236154234753;"Parque Científico y Tecnológico de Gipuzkoa
Paseo Miramón 194. 20014 Donostia, San Sebastián.
";943 00 53 36;info@redib.net;https://www.redib.net/redib;https://www.cicbiomagune.es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/ReDIB/CICBiomaGUNE.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-de-la-Salud-y-Biotecnolog-a/ReDIB/ReDIB-CICBiomaGUNE/CICBiomaGUNE_Edificio.jpg/jcr:content.jpg;https://www.redib.net/solicitud-de-acceso
3;MADRID;Ciencias de la salud y biotecnología;Red Distribuida de Imagen Biomédica (ReDIB);DISTRIBUIDAS;Infraestructura de Imagen Translacional Avanzada (TRIMA);Fundación Centro Nacional de Investigaciones Cardiovasculares Carlos III (CNIC);ES.MD;19; -3.695856359671183;40.476863178929904;40.476863178929904, -3.6958563596711835;Calle Melchor Fernández Almagro, 3. 28029 Madrid.;914531200;CNIC;https://www.redib.net/redib;https://www.cnic.es/es;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/ReDIB/TRIMA-CNIC.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-de-la-Salud-y-Biotecnolog-a/ReDIB/ReDIB-CNIC/CNIC_Fachada.jpg/jcr:content.jpg;https://www.redib.net/solicitud-de-acceso
4;MADRID;Ciencias de la salud y biotecnología;Red Distribuida de Imagen Biomédica (ReDIB);DISTRIBUIDAS;Unidad de Bio-Imagen Complutense (BioImaC);Universidad Complutense de Madrid;ES.MD;18; -3.72066592474169;40.44398597633964;40.44398597633964, -3.720665924741692;"ICTS Bioimagen Complutense
Instituto Pluridisciplinar. Paseo Juan XXIII, 1. 28040 Madrid.

";913943252;bioimac@ucm.es;https://www.redib.net/redib;https://cai.ucm.es/bioimagen/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/ReDIB/BIOIMAC.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-de-la-Salud-y-Biotecnolog-a/ReDIB/ReDIB-BIOIMAC/BIOIMAC_Edificio.jpg/jcr:content.jpg;https://www.redib.net/solicitud-de-acceso
5;COMUNIDAD VALENCIANA;Ciencias de la salud y biotecnología;Red Distribuida de Imagen Biomédica (ReDIB);DISTRIBUIDAS;Unidad de Imagen Médica del Hospital Universitario y Politécnico La Fe (Imaging La Fe);Fundación para la Investigación del Hospital Universitario La Fe;ES.VC;19; -0.375960122096904;39.443681381437194;39.443681381437194, -0.3759601220969044;Avinguda de Fernando Abril Martorell, 106. 46026 Valencia.;961 24 40 09;gibi230@iislafe.es;https://www.redib.net/redib;https://www.acim.lafe.san.gva.es/acim;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/ReDIB/ImagingLaFe.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-de-la-Salud-y-Biotecnolog-a/ReDIB/ReDIB-Imaging-La-Fe/ImagingLaFE_Edificio.jpeg/jcr:content.jpeg;https://www.redib.net/solicitud-de-acceso
6;MADRID;Ciencias de la salud y biotecnología;Red de Laboratorios de Alta Seguridad Biológica (RLASB);DISTRIBUIDAS;"
Laboratorio de Alta Seguridad Biológica del Centro de Investigación en Sanidad Animal (CISA)";Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria (INIA);ES.MD;18; -3.44572845766979;40.64406454279802;40.64406454279802, -3.4457284576697997;Carretera Algete-El Casar de Talamanca, Km. 8,1. 28130 Valdeolmos, Madrid.;;http://www.rlasb.es/contacto/;http://www.rlasb.es/;https://www.inia.es/Pages/Home.aspx;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/RLASB/CISA.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/R-LABS/RLASB---CISA/CISA_Edificio.jpg/jcr:content.jpg;http://www.rlasb.es/acceso-abierto/
7;CATALUÑA;Ciencias de la salud y biotecnología;Red de Laboratorios de Alta Seguridad Biológica (RLASB);DISTRIBUIDAS;Laboratorio de Alta Seguridad Biológica del Centro de Investigación en Sanidad Animal (CRESA);Fundaciò Centre de Recerca en Sanitat Animal (CRESA);ES.CT;18; 2.096654262573151;41.50503977383645;41.50503977383645, 2.0966542625731517;Edifici CReSA. Campus UAB Universitat Autònoma de Barcelona, 08193. Cerdanyola del Vallès, Barcelona.;;http://www.rlasb.es/contacto/;http://www.rlasb.es/;http://www.cresa.es/cresa3/default.asp;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/RLASB/CReSA.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/R-LABS/RLABS----CReSA-/CRESA_Edificio.jpg/jcr:content.jpg;http://www.rlasb.es/acceso-abierto/
8;CATALUÑA;Ciencias de la salud y biotecnología;Red de Laboratorios de Resonancia Magnética Nuclear de Biomoléculas (R-LRB);DISTRIBUIDAS;"Laboratorio de Resonancia Magnética Nuclear de Barcelona (LRB)
";Universitat de Barcelona;ES.CT;18; 2.117286894500906;41.38215393338564;41.38215393338564, 2.1172868945009062;"Parque Científico de Barcelona. Campus Diagonal UB
Baldiri Reixac, 10. 08028 Barcelona.

";93 403 44 66;r-lrb@rmn.ub.edu;http://www.rmn.ub.es/r-lrb/;http://www.rmn.ub.es/r-lrb/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/RLBR/LRB.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-de-la-Salud-y-Biotecnolog-a/R-LRB/R-LRB-LRB/R-LRB-Laboratorio-de-RMN-de-la-Universitat-de-Barcelona-LRB.jpg/jcr:content.jpg;https://www.rmn.ub.es/r-lrb/
9;MADRID;Ciencias de la salud y biotecnología;Red de Laboratorios de Resonancia Magnética Nuclear de Biomoléculas (R-LRB);DISTRIBUIDAS;"Laboratorio de Resonancia Magnética Nuclear Manuel Rico (LMR) 
";Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC);ES.MD;18; -3.68755966034745;40.44186734219212;40.44186734219212, -3.687559660347453;Instituto de Química Física Rocasolano. Calle Serrano, 119. 28006 Madrid.;917459500;r-lrb@rmn.ub.edu;http://www.rmn.ub.es/r-lrb/;https://lmr.csic.es/es/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/RLBR/LMR.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-de-la-Salud-y-Biotecnolog-a/R-LRB/R-LRB-LMR/R-LRB-Laboratorio-de-RMN-Manuel-Rico-LMR.jpg/jcr:content.jpg;https://www.rmn.ub.es/r-lrb/
10;PAÍS VASCO;Ciencias de la salud y biotecnología;Red de Laboratorios de Resonancia Magnética Nuclear de Biomoléculas (R-LRB);DISTRIBUIDAS;"Laboratorio de Resonancia Magnética Nuclear de Euskadi (LRE)
";Asociación Centro de Investigación Cooperativa en Biociencias (CIC bioGUNE);ES.PV;18; -2.86795809248982;43.29464244147439;43.29464244147439, -2.867958092489827;"Parque Tecnológico y Científico de Bizkaia, Ed.800. 48160 Derio, Vizcaya.

"; 934 034 466;r-lrb@rmn.ub.edu;http://www.rmn.ub.es/r-lrb/;http://www.rmn.ub.es/r-lrb/;https://www.ciencia.gob.es/Organismos-y-Centros/ICTS/CienciasSalud/RLBR/LRE.html;https://www.ciencia.gob.es/.imaging/default/dam/WEB/No-rastreable/Im-genes-espec-ficas/ORGANISMOS-Y-CENTROS/ICTS/Ciencias-de-la-Salud-y-Biotecnolog-a/R-LRB/R-LRB-LRE/R-LRB-Laboratorio-de-RMN-de-Euskadi-LRE.jpg/jcr:content.jpg;https://www.rmn.ub.es/r-lrb/
